Name,Platform,Format,Region,Now Playing,Ownership Status,Progress Status,Est. Value,Amt. Paid,Tags,Box/Case,Cart/Disc,Manual,Extras
10-Yard Fight,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.06,,,,,,
1942,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.08,,,,,,
1943: The Battle of Midway,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$13.81,,,,,,
3-D WorldRunner,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.95,,,,,,
720Â°,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.76,,,,,,
8 Eyes,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.73,,,,,,
A Boy and His Blob,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
A Boy and His Blob: Trouble on Blobolonia,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.87,,,,,,
A Nightmare on Elm Street,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$29.29,,,,,,
Abadox,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.16,,,,,,
Action 52,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$195.98,,,,,,
Advanced Dungeons & Dragons: Heroes of the Lance,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.33,,,,,,
Adventure Island,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.46,,,,,,
Adventure Island II,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$14.30,,,,,,
Adventures in the Magic Kingdom,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.30,,,,,,
Adventures of Dino Riki,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.00,,,,,,
Adventures of Lolo,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.99,,,,,,
Adventures of Lolo 2,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$21.80,,,,,,
Adventures of Lolo 3,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$43.99,,,,,,
Adventures of Tom Sawyer,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.54,,,,,,
After Burner (1989),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.43,,,,,,
Air Fortress,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.99,,,,,,
Airwolf (1988),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.32,,,,,,
Al Unser Jr.'s Turbo Racing,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.70,,,,,,
Alien 3,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$17.80,,,,,,
All-Pro Basketball,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.40,,,,,,
Alpha Mission,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.50,,,,,,
Amagon,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.30,,,,,,
American Gladiators,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.09,,,,,,
Anticipation,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.42,,,,,,
Arch Rivals,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.64,,,,,,
Archon,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.15,,,,,,
Arkanoid,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.99,,,,,,
Astyanax,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.67,,,,,,
Athena,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.29,,,,,,
Athletic World,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.07,,,,,,
Back to the Future,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.50,,,,,,
Back to the Future II & III,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.89,,,,,,
Bad Dudes,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.65,,,,,,
Bad News Baseball,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.47,,,,,,
Bad Street Brawler,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.96,,,,,,
Balloon Fight,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$20.95,,,,,,
Bandai Golf: Challenge Pebble Beach,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.77,,,,,,
Barbie (1991),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.98,,,,,,
Barker Bill's Trick Shooting,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.21,,,,,,
Baseball (1985),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.10,,,,,,
Baseball Stars,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.90,,,,,,
Bases Loaded,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.50,,,,,,
Bases Loaded 3,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.18,,,,,,
Bases Loaded II: Second Season,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.70,,,,,,
Batman: The Video Game,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.85,,,,,,
Battle Chess (1993),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Battle Tank,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.15,,,,,,
Battletoads,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$21.25,,,,,,
Beetlejuice,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.99,,,,,,
Bible Adventures,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.15,,,,,,
Big Bird's Hide & Speak,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.97,,,,,,
Big Nose the Caveman,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.47,,,,,,
Bigfoot,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.76,,,,,,
Bill & Ted's Excellent Video Game Adventure,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.09,,,,,,
Bill Elliott's NASCAR Challenge,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.62,,,,,,
Bionic Commando (1987),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.91,,,,,,
Blades of Steel,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.99,,,,,,
Blaster Master,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.21,,,,,,
Bo Jackson Baseball,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.99,,,,,,
Bomberman (1989),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$19.89,,,,,,
Bonk's Adventure,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$461.99,,,,,,
Boulder Dash,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.89,,,,,,
Break Time: The National Pool Tour,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.99,,,,,,
Bubble Bath Babes,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,"$1,195.00",$1700.00,,,,,
Bubble Bobble (1987),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$21.29,,,,,,
Bucky O'Hare,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$90.00,,,,,,
Bump 'n' Jump,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.99,,,,,,
Burai Fighter,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.90,,,,,,
BurgerTime (1985),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.26,,,,,,
Caesars Palace (1992),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.06,,,,,,
Captain America and The Avengers (NES),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$21.76,,,,,,
Captain Comic,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.68,,,,,,
Captain Planet and the Planeteers,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.84,,,,,,
Captain Skyhawk,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.96,,,,,,
Casino Kid,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.36,,,,,,
Castlequest,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.94,,,,,,
Castlevania (1986),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$24.99,,,,,,
Castlevania II: Simon's Quest,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.48,,,,,,
Castlevania III: Dracula's Curse,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$27.03,,,,,,
Caveman Games,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.77,,,,,,
Championship Bowling (1989),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.20,,,,,,
Chip 'n Dale Rescue Rangers,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.50,,,,,,
Chubby Cherub,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$62.69,,,,,,
Circus Caper,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.41,,,,,,
City Connection,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.52,,,,,,
Clash at Demonhead,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.41,,,,,,
Classic Concentration,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.51,,,,,,
Clu Clu Land,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$22.99,,,,,,
Cobra Command (1988),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.07,,,,,,
Cobra Triangle,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.86,,,,,,
Code Name: Viper,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.01,,,,,,
Color a Dinosaur,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$100.00,,,,,,
Commando,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.02,,,,,,
Conflict,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.42,,,,,,
Conquest of the Crystal Palace,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$19.52,,,,,,
Contra,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$26.46,,,,,,
Cool Spot,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Crystalis,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.06,,,,,,
Cyber Stadium Series: Base Wars,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.10,,,,,,
Cybernoid: The Fighting Machine,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.39,,,,,,
Dance Aerobics,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.77,,,,,,
Darkman,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.50,,,,,,
Dash Galaxy in the Alien Asylum,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.51,,,,,,
Days of Thunder,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.14,,,,,,
Deadly Towers,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.74,,,,,,
Death Race,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$34.25,,,,,,
Deathbots,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$19.02,,,,,,
Defender II,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.83,,,,,,
Defender of the Crown,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.01,,,,,,
Deja Vu,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.01,,,,,,
Demon Sword,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.68,,,,,,
Desert Commander,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.03,,,,,,
Destination Earthstar,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.45,,,,,,
Destiny of an Emperor,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$24.73,,,,,,
Dig Dug II: Trouble in Paradise,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.73,,,,,,
Digger T. Rock: The Legend of the Lost City,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$14.99,,,,,,
Disney's Darkwing Duck,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$40.00,,,,,,
Donkey Kong (1981),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Donkey Kong 3,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$13.81,,,,,,
Donkey Kong Classics,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.89,,,,,,
Donkey Kong Jr.,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Donkey Kong Jr. Math,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$72.52,,,,,,
Double Dragon,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.97,,,,,,
Double Dragon II: The Revenge,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.00,,,,,,
Double Dragon III,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.03,,,,,,
Double Dribble,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.94,,,,,,
Dr. Chaos,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.35,,,,,,
Dr. Jekyll and Mr. Hyde,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.45,,,,,,
Dr. Mario (1990),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.10,,,,,,
Dragon Power,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.99,,,,,,
Dragon Spirit,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Dragon Warrior,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.38,,,,,,
Duck Hunt,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.80,,,,,,
Duck Hunt,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
DuckTales,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$15.25,,,,,,
DuckTales 2,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$122.25,$300.00,,,,,
DuckTales 2,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$122.25,,,,,,
Dungeon Magic,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Dungeon Magic: Sword of the Elements,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.64,,,,,,
Dusty Diamond's All-Star Softball,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$55.00,,,,,,
Dynowarz: Destruction of Spoondylus,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.54,,,,,,
Elevator Action,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.28,,,,,,
Excitebike,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.50,,,,,,
Exodus: Journey to the Promised Land,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.19,,,,,,
F-117A Stealth Fighter,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.96,,,,,,
F-15 City War,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.67,,,,,,
Family Feud (1987),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Faxanadu,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.24,,,,,,
Felix the Cat,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$55.13,,,,,,
Ferrari Grand Prix Challenge,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.52,,,,,,
Fester's Quest,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.30,,,,,,
Final Fantasy,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$17.43,,,,,,
Firehawk,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.00,,,,,,
Fisher-Price: Perfect Fit,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.70,,,,,,
Flying Dragon,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Flying Warriors,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.85,,,,,,
Fox's Peter Pan & the Pirates: The Revenge of Captain Hook,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.72,,,,,,
Frankenstein: The Monster Returns,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$55.49,,,,,,
Freedom Force (1988),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.50,,,,,,
Friday the 13th,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.50,,,,,,
Fun House,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.43,,,,,,
Galactic Crusader,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$33.93,,,,,,
Galaga: Demons of Death,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.75,,,,,,
Gauntlet (1985),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.99,,,,,,
Gauntlet II,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.07,,,,,,
George Foreman's KO Boxing,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.56,,,,,,
Ghost Lion,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$52.36,,,,,,
Ghostbusters (1988),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.35,,,,,,
Ghostbusters II (NES),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.84,,,,,,
Ghosts 'n Goblins (1986),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.52,,,,,,
Goal!,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.34,,,,,,
